root;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;mpm;event;worker;processCount;compressionLevel;threadCount;performance;energy
1;0;0;1;0;0;1;0;0;0;0;1;0;1;16;1;64;7.510600;333.000000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;32;1;64;7.318600;348.000000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;64;1;64;7.230200;359.800000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;8;1;128;7.723600;345.600000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;16;1;128;7.668000;373.800000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;32;1;128;7.757800;365.000000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;64;1;128;7.847800;382.600000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;8;1;256;8.641000;432.800000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;16;1;256;9.326600;444.000000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;32;1;256;8.340000;378.600000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;64;1;256;8.243600;384.400000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;64;1;16;14.103600;565.200000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;32;1;32;14.340000;553.400000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;64;1;32;14.366000;542.200000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;16;1;64;7.903400;403.000000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;32;1;64;7.767400;361.600000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;64;1;64;7.537800;358.200000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;8;1;128;7.916400;390.000000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;16;1;128;8.141000;394.000000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;32;1;128;8.164000;390.200000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;64;1;128;7.943600;380.200000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;8;1;256;8.880400;420.000000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;16;1;256;8.700200;430.800000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;32;1;256;8.680600;421.000000
1;0;0;1;0;0;1;0;0;0;0;1;1;0;64;1;256;8.739800;413.800000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;64;1;16;12.719600;323.200000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;32;1;32;7.505800;199.800000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;64;1;32;7.060200;182.600000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;16;1;64;4.400000;154.600000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;32;1;64;4.418600;154.800000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;64;1;64;4.398600;150.200000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;8;1;128;4.398800;170.200000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;16;1;128;7.140200;223.400000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;32;1;128;4.415000;144.200000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;64;1;128;5.140200;150.800000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;8;1;256;4.381200;173.800000
1;0;0;1;0;1;0;0;0;0;0;1;0;1;16;1;256;5.085200;171.600000
